variable,importancia
impago_mes_anterior,0.07891121
impago_flag,0.0340657
dias_retraso_pago,0.024059484
retraso_mes_anterior,0.02242024
stress_calidad_lag,0.01601294
tipo_plan_y_Premium,0.013268743
tipo_plan_y_Prepago,0.013195381
antiguedad_meses,0.012872577
zona_id_y_Z07,0.0120880995
ingreso_estimado,0.011924392
num_lineas_x,0.011692715
tipo_plan_x_Premium,0.011366634
num_lineas_y,0.0113506
sexo_M,0.011065696
tipo_zona_urbana_premium,0.010891076
region_Oeste,0.010418282
descuento_activo,0.010318542
zona_id_y_Z26,0.010244101
zona_id_y_Z27,0.010237031
zona_id_x_Z18,0.010139386
zona_id_x_Z27,0.010101997
edad,0.009811133
factura_mes_anterior,0.00980296
descuento_aplicado,0.009708478
zona_id_y_Z09,0.00970423
zona_id_y_Z02,0.009665297
zona_id_x_Z20,0.009465718
tipo_plan_x_Prepago,0.009417317
region_Norte,0.0093837
tipo_zona_suburbana,0.009348634
sube_factura_baja_consumo,0.009339264
cargo_base,0.009336057
importe_total,0.009307255
zona_id_x_Z04,0.009290177
zona_id_x_Z13,0.009271554
poblacion_zona,0.009253732
region_Este,0.009218571
estado_civil_Soltero/a,0.009096176
variacion_consumo_pct,0.009072025
consumo_mes_anterior,0.009069158
zona_id_y_Z12,0.009031512
consumo_extra,0.008889566
zona_id_x_Z19,0.008850579
subida_factura,0.008784802
cambio_consumo,0.00873428
tipo_plan_x_Desconocido,0.008729069
zona_id_x_Z11,0.0086673405
zona_id_x_Z09,0.008628119
zona_id_y_Z15,0.008619208
zona_id_y_Z24,0.00858107
zona_id_x_Z28,0.0085775675
zona_id_y_Z17,0.008565511
zona_id_y_Z13,0.0085112015
tipo_dispositivo_Gama media,0.00848406
zona_id_y_Z14,0.008384094
sexo_X,0.008352159
zona_id_x_Z15,0.008322521
zona_id_y_Z99,0.008257096
zona_id_x_Z22,0.008222534
zona_id_x_Z10,0.008158113
tipo_dispositivo_Gama baja,0.0081575345
zona_id_x_Z02,0.008136877
zona_id_x_Z23,0.008081017
zona_id_y_Z29,0.008046995
zona_id_x_Z07,0.007922036
zona_id_y_Z04,0.007892459
zona_id_y_Z11,0.00782545
zona_id_x_Z29,0.007812912
zona_id_x_Z30,0.0077915783
estado_civil_Desconocido,0.007735488
zona_id_y_Z16,0.00762205
sexo_Desconocido,0.0075765406
zona_id_x_Z25,0.0075092427
zona_id_x_Z24,0.007480275
zona_id_x_Z17,0.0073732906
zona_id_y_Z10,0.0073220097
zona_id_x_Z05,0.007294109
zona_id_y_Z05,0.0072698668
zona_id_x_Z16,0.0071847853
sexo_F,0.007162565
incidencia_masiva_lag,0.00715465
estado_civil_Divorciado/a,0.007126546
zona_id_y_Z30,0.007083859
zona_id_y_Z03,0.0070194416
region_Sur,0.0069489027
zona_id_y_Z19,0.006935566
zona_id_y_Z18,0.0069116484
zona_id_y_Z28,0.006820326
estado_civil_desconocido,0.006713302
zona_id_x_Z21,0.006665541
zona_id_y_Z23,0.0066428785
zona_id_y_Z20,0.006572035
zona_id_x_Z08,0.0065525263
zona_id_x_Z03,0.006490086
zona_id_y_Z22,0.0063520684
zona_id_y_Z06,0.0062563387
zona_id_x_Z14,0.0062359003
zona_id_y_Z21,0.006064459
zona_id_x_Z06,0.00570068
zona_id_x_Z12,0.0053988746
zona_id_x_Z26,0.0043211062
zona_id_y_Z08,0.004279639
zona_id_y_Z25,0.0
